clock,mean_return,median_absolute_return,mean_absolute_return,mean_volume,observations
11:30,-0.008587447691927099,0.055544536242635445,0.0694991452240237,195525.94779116465,249
11:35,-0.004179707284348229,0.05916109738901554,0.07272933555295466,246385.85542168675,249
11:40,0.002856749381663404,0.05451869217480976,0.0657738116519183,211337.89959839356,249
11:45,-0.0029251530592871396,0.05070626693211011,0.06278877513361715,196151.3935742972,249
11:50,0.0067844902141034205,0.049361153775073774,0.056835915348135944,185395.09638554216,249
11:55,-0.0008683977933452159,0.05114385303368607,0.062122533645201226,184569.70682730924,249
12:00,-0.005426114308271937,0.042339447525385765,0.054498629521176206,157876.27710843374,249
12:05,-0.004510755478445716,0.0537077543887321,0.0698776615090802,188114.2690763052,249
12:10,0.00020880670031228632,0.042618314897069354,0.05160861834456448,164969.95983935744,249
12:15,-0.0006195104133706125,0.03584158059926068,0.050099900769923815,152167.86345381525,249
12:20,-0.0009085299151366259,0.0336971379342188,0.04730183201801798,144534.04016064256,249
12:25,-0.00046087794548514986,0.03778718303735218,0.04852117243494262,137128.8032128514,249
12:30,-0.0009803095124394634,0.037297196926466825,0.04549847910165152,125079.59437751005,249
12:35,-0.0006291808941565977,0.0368557918953627,0.04568792547805092,134467.17269076305,249
12:40,0.009061752083737357,0.04070380636775894,0.04914882895637835,125452.92771084337,249
12:45,-0.0009700097725797148,0.03292858642645058,0.04399159803881488,119841.75100401607,249
12:50,-0.00461877843551717,0.03453104951152142,0.042860243162828056,114703.61044176707,249
12:55,-0.0008131821802714031,0.03274796377876754,0.04081803739689699,110206.79919678715,249
13:00,0.0013898545090842973,0.03220093410529756,0.03992684883526588,104960.57429718875,249
13:05,-0.009033895841197756,0.039218762758430614,0.0451430329387047,124019.51807228915,249
13:10,-0.004451639487301583,0.032140131247793136,0.041658409329030976,108798.46184738955,249
13:15,0.004482853529674634,0.031209768910933633,0.03925364036068233,108906.38554216867,249
13:20,0.0012581647637036277,0.03130135403903722,0.03860879510431464,102003.67469879518,249
13:25,0.002333654266714892,0.03425635203342381,0.03851513682174511,104993.421686747,249
13:30,0.00015270007400294637,0.03189156893679268,0.04014656080258262,101527.61445783133,249
13:35,-0.0030080292222404393,0.03482635229161701,0.04198014843029408,111319.29718875502,249
13:40,0.00322954317245993,0.03508566786472045,0.04260326587775351,106701.55823293173,249
13:45,-0.00017862132837927308,0.0344359208316547,0.039986375075642545,105718.10040160643,249
13:50,-0.0010771809725235104,0.031560675660280424,0.04318226918880059,104992.83534136545,249
13:55,0.005493493784067461,0.034158838931652724,0.04811779948129477,116485.30120481928,249
14:00,-0.0010347802591260538,0.030156815668824777,0.042445166446944904,108112.58634538153,249
14:05,-0.00031294287786221323,0.03660590127996244,0.04437341784689261,127617.28514056225,249
14:10,-0.0009844295923297508,0.03139101458007332,0.042527290230359796,111521.39759036145,249
14:15,0.0007220621947667727,0.034222484506152284,0.04231525777210348,114956.15261044177,249
14:20,-0.0028411725739114885,0.03782720577714116,0.04686390498449642,114916.1686746988,249
14:25,0.0050673979719146915,0.0380503029589363,0.0472895692232644,119411.61847389558,249
14:30,0.0009243885399150169,0.03525471568330829,0.04347177512027044,112997.07228915663,249
14:35,0.0009663275663368085,0.03517342488628117,0.04243397448787455,119174.26907630522,249
