scale,lag,acf,pacf,n,valid_pairs,white_noise_pointwise_band,pacf_method,sequence,model
1min,11,0.0429400008809865,0.016433140996381,132840,132829,0.0053776389150922,Yule_Walker_MLE,annual_trading_time,AR_BIC
1min,12,0.0521363982877386,0.0283017321589832,132840,132828,0.0053776389150922,Yule_Walker_MLE,annual_trading_time,AR_BIC
1min,13,0.0412933822532716,0.0118430515067416,132840,132827,0.0053776389150922,Yule_Walker_MLE,annual_trading_time,AR_BIC
1min,14,0.0342289839381961,0.0084111880399705,132840,132826,0.0053776389150922,Yule_Walker_MLE,annual_trading_time,AR_BIC
1min,15,0.0304905785605009,0.0093629512782139,132840,132825,0.0053776389150922,Yule_Walker_MLE,annual_trading_time,AR_BIC
1min,16,0.0323072260703451,0.0130247535819632,132840,132824,0.0053776389150922,Yule_Walker_MLE,annual_trading_time,AR_BIC
1min,17,0.0340901961811968,0.0133975747857125,132840,132823,0.0053776389150922,Yule_Walker_MLE,annual_trading_time,AR_BIC
1min,18,0.0290514921501085,0.0070992849998944,132840,132822,0.0053776389150922,Yule_Walker_MLE,annual_trading_time,AR_BIC
1min,19,0.0323543333642012,0.0131128037267434,132840,132821,0.0053776389150922,Yule_Walker_MLE,annual_trading_time,AR_BIC
1min,20,0.0428430933099671,0.023338614523179,132840,132820,0.0053776389150922,Yule_Walker_MLE,annual_trading_time,AR_BIC
1min,21,0.0358173083395875,0.009114973647645,132840,132819,0.0053776389150922,Yule_Walker_MLE,annual_trading_time,AR_BIC
1min,22,0.034448402442795,0.0107076140655279,132840,132818,0.0053776389150922,Yule_Walker_MLE,annual_trading_time,AR_BIC
1min,23,0.0321344331805845,0.0102429805081132,132840,132817,0.0053776389150922,Yule_Walker_MLE,annual_trading_time,AR_BIC
1min,24,0.0293518203996873,0.0074273430824225,132840,132816,0.0053776389150922,Yule_Walker_MLE,annual_trading_time,AR_BIC
1min,25,0.042764804632717,0.0238949257963718,132840,132815,0.0053776389150922,Yule_Walker_MLE,annual_trading_time,AR_BIC
1min,26,0.0292374129226342,0.0020100073355552,132840,132814,0.0053776389150922,Yule_Walker_MLE,annual_trading_time,AR_BIC
1min,27,0.0339694003571071,0.0130227057901081,132840,132813,0.0053776389150922,Yule_Walker_MLE,annual_trading_time,AR_BIC
1min,28,0.0298256747228364,0.0078636370674961,132840,132812,0.0053776389150922,Yule_Walker_MLE,annual_trading_time,AR_BIC
1min,29,0.0336152470041664,0.0125477799166699,132840,132811,0.0053776389150922,Yule_Walker_MLE,annual_trading_time,AR_BIC
1min,30,0.0286712456689668,0.0055000893735288,132840,132810,0.0053776389150922,Yule_Walker_MLE,annual_trading_time,AR_BIC
1min,31,0.0284777185837693,0.0080496765058356,132840,132809,0.0053776389150922,Yule_Walker_MLE,annual_trading_time,AR_BIC
1min,32,0.0225133031647954,0.0010957993348584,132840,132808,0.0053776389150922,Yule_Walker_MLE,annual_trading_time,AR_BIC
1min,33,0.0234922765546277,0.0059601989465299,132840,132807,0.0053776389150922,Yule_Walker_MLE,annual_trading_time,AR_BIC
