scale,evaluation,horizon_bars,horizon_minutes,model,group_type,group,n,mse,mae,rmse,mse_ratio_vs_zero,mse_gain_vs_zero,n_candidate_origins_all,n_dropped_nonfinite_all
5min,native,1,5.0,TRAIN_MEAN,gap_group,high,10476,0.0073212334327636,0.0578065409871365,0.0855642064929236,1.0001420285205012,-0.0001420285205011,23868,0
5min,native,1,5.0,TRAIN_MEAN,gap_group,low,12312,0.0058298623213883,0.0527436360810794,0.0763535350942463,1.0002649214020278,-0.0002649214020278,23868,0
5min,common_60min,12,60.0,ARMA_BIC,all,all,1989,0.0767626608559357,0.1936612038688871,0.2770607530054298,1.0020305204684363,-0.0020305204684365,1989,0
5min,common_60min,12,60.0,ARMA_BIC,time_band,fim,221,0.0272550705647032,0.1116315358298602,0.16509109777545,1.0035547999196934,-0.0035547999196934,1989,0
5min,common_60min,12,60.0,ARMA_BIC,time_band,inicio,221,0.1217175918170583,0.2580557052687406,0.3488804835714637,1.000858137400818,-0.0008581374008178,1989,0
5min,common_60min,12,60.0,ARMA_BIC,time_band,meio,1547,0.0774130407602371,0.196180513388769,0.2782319909001069,1.0022176511575729,-0.0022176511575726,1989,0
5min,common_60min,12,60.0,ARMA_BIC,gap_group,high,873,0.0791364620317064,0.1974405877843321,0.2813120367700366,1.001895424082954,-0.001895424082954,1989,0
5min,common_60min,12,60.0,ARMA_BIC,gap_group,low,1026,0.0708596902847268,0.1854304996873625,0.2661948351954389,1.0031476643350836,-0.0031476643350836,1989,0
5min,common_60min,12,60.0,AR_BIC,all,all,1989,0.076763168071356,0.193662002229993,0.2770616683544587,1.0020371414652327,-0.0020371414652327,1989,0
5min,common_60min,12,60.0,AR_BIC,time_band,fim,221,0.0272606084271984,0.1116560275188803,0.1651078690650403,1.0037587087107294,-0.0037587087107293,1989,0
5min,common_60min,12,60.0,AR_BIC,time_band,inicio,221,0.1217196722534359,0.2580599004439267,0.3488834651476563,1.0008752443912434,-0.0008752443912434,1989,0
5min,common_60min,12,60.0,AR_BIC,time_band,meio,1547,0.0774126045659386,0.19617744172959,0.2782312070310205,1.0022120040260163,-0.0022120040260162,1989,0
5min,common_60min,12,60.0,AR_BIC,gap_group,high,873,0.079138823167999,0.1974464909731888,0.2813162333886884,1.0019253168983064,-0.0019253168983064,1989,0
5min,common_60min,12,60.0,AR_BIC,gap_group,low,1026,0.0708558075144789,0.1854236268517201,0.2661875419971395,1.0030926966674334,-0.0030926966674333,1989,0
5min,common_60min,12,60.0,MA_BIC,all,all,1989,0.0767631704696425,0.1936620178418507,0.2770616726825321,1.0020371727715502,-0.0020371727715502,1989,0
5min,common_60min,12,60.0,MA_BIC,time_band,fim,221,0.0272607314130257,0.1116565443667523,0.1651082415054612,1.003763237153131,-0.0037632371531313,1989,0
5min,common_60min,12,60.0,MA_BIC,time_band,inicio,221,0.1217197232864437,0.2580599891803636,0.3488835382852618,1.0008756640249252,-0.0008756640249252,1989,0
5min,common_60min,12,60.0,MA_BIC,time_band,meio,1547,0.0774125827896162,0.1961773752899343,0.2782311678975168,1.0022117221017504,-0.0022117221017503,1989,0
5min,common_60min,12,60.0,MA_BIC,gap_group,high,873,0.0791388610879579,0.1974466067094165,0.2813163007860689,1.0019257969783153,-0.0019257969783152,1989,0
5min,common_60min,12,60.0,MA_BIC,gap_group,low,1026,0.0708557201366877,0.1854234897039778,0.2661873778688384,1.0030914596760383,-0.0030914596760385,1989,0
5min,common_60min,12,60.0,AR_MA_50_50,all,all,1989,0.0767631692649147,0.1936620100359218,0.2770616705084172,1.002037157045493,-0.0020371570454926,1989,0
