scale,lag,acf,pacf,n,valid_pairs,white_noise_pointwise_band,pacf_method,sequence
5min,11,-0.0135105070775381,-0.0129447106360346,26568,26557,0.0120247661725944,Yule_Walker_MLE,annual_trading_time
5min,12,-0.0010009900547953,-0.0014415305173484,26568,26556,0.0120247661725944,Yule_Walker_MLE,annual_trading_time
5min,13,-0.0161028055626297,-0.0160340030218455,26568,26555,0.0120247661725944,Yule_Walker_MLE,annual_trading_time
5min,14,0.0025227327870533,0.0025726165874722,26568,26554,0.0120247661725944,Yule_Walker_MLE,annual_trading_time
5min,15,0.0053882121874858,0.0047346854298826,26568,26553,0.0120247661725944,Yule_Walker_MLE,annual_trading_time
5min,16,-0.0050212560043003,-0.0049281504362787,26568,26552,0.0120247661725944,Yule_Walker_MLE,annual_trading_time
5min,17,-0.0009034356568065,-0.0009404319802903,26568,26551,0.0120247661725944,Yule_Walker_MLE,annual_trading_time
5min,18,-0.0001438553443962,-0.0003278974238715,26568,26550,0.0120247661725944,Yule_Walker_MLE,annual_trading_time
5min,19,0.0007486284113691,0.0010157946578134,26568,26549,0.0120247661725944,Yule_Walker_MLE,annual_trading_time
5min,20,-0.0032983995371594,-0.0030033946423954,26568,26548,0.0120247661725944,Yule_Walker_MLE,annual_trading_time
5min,21,-0.0049146040379574,-0.0053699910185332,26568,26547,0.0120247661725944,Yule_Walker_MLE,annual_trading_time
5min,22,0.0034684888790983,0.003414596986248,26568,26546,0.0120247661725944,Yule_Walker_MLE,annual_trading_time
5min,23,0.0055842216822048,0.005265488608261,26568,26545,0.0120247661725944,Yule_Walker_MLE,annual_trading_time
5min,24,-0.0001133734152658,-0.0005297566301986,26568,26544,0.0120247661725944,Yule_Walker_MLE,annual_trading_time
15min,1,0.0074473232341578,0.0074473232341578,8856,8855,0.020827505960069,Yule_Walker_MLE,annual_trading_time
15min,2,0.005689201453368,0.0056340513092797,8856,8854,0.020827505960069,Yule_Walker_MLE,annual_trading_time
15min,3,-0.0119742741372293,-0.0120594149716309,8856,8853,0.020827505960069,Yule_Walker_MLE,annual_trading_time
15min,4,-0.0221015813267403,-0.0219599531790001,8856,8852,0.020827505960069,Yule_Walker_MLE,annual_trading_time
15min,5,0.0007036934388848,0.0011651007308586,8856,8851,0.020827505960069,Yule_Walker_MLE,annual_trading_time
15min,6,-0.0060852663436598,-0.0059912816463282,8856,8850,0.020827505960069,Yule_Walker_MLE,annual_trading_time
15min,7,-0.0029893409219929,-0.0034414202715911,8856,8849,0.020827505960069,Yule_Walker_MLE,annual_trading_time
15min,8,0.0024572254928789,0.0021124136409831,8856,8848,0.020827505960069,Yule_Walker_MLE,annual_trading_time
15min,9,0.0116408727489328,0.0115513169120677,8856,8847,0.020827505960069,Yule_Walker_MLE,annual_trading_time
15min,10,0.0268049420193655,0.0262913526712808,8856,8846,0.020827505960069,Yule_Walker_MLE,annual_trading_time
15min,11,0.0050018398591723,0.0044250287862517,8856,8845,0.020827505960069,Yule_Walker_MLE,annual_trading_time
15min,12,0.0038256933721692,0.00380815807648,8856,8844,0.020827505960069,Yule_Walker_MLE,annual_trading_time
15min,13,-0.0111698827070196,-0.0101940343533299,8856,8843,0.020827505960069,Yule_Walker_MLE,annual_trading_time
15min,14,-0.0036246561130443,-0.0022602291924566,8856,8842,0.020827505960069,Yule_Walker_MLE,annual_trading_time
15min,15,-0.006308145843858,-0.0057753474314554,8856,8841,0.020827505960069,Yule_Walker_MLE,annual_trading_time
15min,16,0.0127535443047632,0.0131630024562898,8856,8840,0.020827505960069,Yule_Walker_MLE,annual_trading_time
15min,17,-0.0212755036335135,-0.0218048588064237,8856,8839,0.020827505960069,Yule_Walker_MLE,annual_trading_time
15min,18,0.0109512244154295,0.0107134323575057,8856,8838,0.020827505960069,Yule_Walker_MLE,annual_trading_time
15min,19,-0.0040962159102085,-0.0047014688301422,8856,8837,0.020827505960069,Yule_Walker_MLE,annual_trading_time
15min,20,0.0023941247713877,0.0015069529541117,8856,8836,0.020827505960069,Yule_Walker_MLE,annual_trading_time
15min,21,0.003679261416588,0.0026046234151421,8856,8835,0.020827505960069,Yule_Walker_MLE,annual_trading_time
15min,22,-0.0004324141869077,7.26852302675958e-05,8856,8834,0.020827505960069,Yule_Walker_MLE,annual_trading_time
15min,23,-0.008734565833973,-0.008509628353167,8856,8833,0.020827505960069,Yule_Walker_MLE,annual_trading_time
15min,24,0.001728704071798,0.0023540621196677,8856,8832,0.020827505960069,Yule_Walker_MLE,annual_trading_time
30min,1,0.00642080371445,0.00642080371445,4428,4427,0.0294545413991361,Yule_Walker_MLE,annual_trading_time
30min,2,-0.0217228838617921,-0.0217650078820247,4428,4426,0.0294545413991361,Yule_Walker_MLE,annual_trading_time
30min,3,-0.0033370167040843,-0.0030563275119398,4428,4425,0.0294545413991361,Yule_Walker_MLE,annual_trading_time
30min,4,0.004885064002474,0.0044563318771633,4428,4424,0.0294545413991361,Yule_Walker_MLE,annual_trading_time
30min,5,0.0372477772567306,0.0370682820469527,4428,4423,0.0294545413991361,Yule_Walker_MLE,annual_trading_time
30min,6,-0.0087075626808162,-0.0090099494361821,4428,4422,0.0294545413991361,Yule_Walker_MLE,annual_trading_time
30min,7,-0.0146908799821009,-0.0129690017040089,4428,4421,0.0294545413991361,Yule_Walker_MLE,annual_trading_time
30min,8,-0.0019667178691064,-0.0019808814580627,4428,4420,0.0294545413991361,Yule_Walker_MLE,annual_trading_time
30min,9,0.0037006180402846,0.0027639482349405,4428,4419,0.0294545413991361,Yule_Walker_MLE,annual_trading_time
30min,10,0.0027973308462084,0.0013046558804349,4428,4418,0.0294545413991361,Yule_Walker_MLE,annual_trading_time
30min,11,-0.0053817583021911,-0.0045168978284205,4428,4417,0.0294545413991361,Yule_Walker_MLE,annual_trading_time
