date,symbol,observed_minutes,expected_minutes,missing_minutes,anchor_available,coverage,included,sample
2025-04-08,WINJ25,540,540,0,True,1.0,True,test
2025-04-09,WINJ25,535,540,5,True,0.9907407407407407,False,test
2025-04-10,WINJ25,540,540,0,True,1.0,True,test
2025-04-11,WINJ25,540,540,0,True,1.0,True,test
2025-04-14,WINJ25,540,540,0,True,1.0,True,test
2025-04-15,WINJ25,540,540,0,True,1.0,True,test
2025-04-16,WINM25,540,540,0,True,1.0,True,test
2025-04-17,WINM25,540,540,0,True,1.0,True,test
2025-04-22,WINM25,540,540,0,True,1.0,True,test
2025-04-23,WINM25,540,540,0,True,1.0,True,test
2025-04-24,WINM25,540,540,0,True,1.0,True,test
2025-04-25,WINM25,540,540,0,True,1.0,True,test
2025-04-28,WINM25,540,540,0,True,1.0,True,test
2025-04-29,WINM25,540,540,0,True,1.0,True,test
2025-04-30,WINM25,540,540,0,True,1.0,True,test
2025-05-02,WINM25,540,540,0,True,1.0,True,test
2025-05-05,WINM25,540,540,0,True,1.0,True,test
2025-05-06,WINM25,540,540,0,True,1.0,True,test
2025-05-07,WINM25,540,540,0,True,1.0,True,test
2025-05-08,WINM25,540,540,0,True,1.0,True,test
2025-05-09,WINM25,540,540,0,True,1.0,True,test
2025-05-12,WINM25,539,540,1,False,0.9981481481481481,False,test
2025-05-13,WINM25,540,540,0,True,1.0,True,test
2025-05-14,WINM25,540,540,0,True,1.0,True,test
2025-05-15,WINM25,540,540,0,True,1.0,True,test
2025-05-16,WINM25,540,540,0,True,1.0,True,test
2025-05-19,WINM25,540,540,0,True,1.0,True,test
2025-05-20,WINM25,540,540,0,True,1.0,True,test
2025-05-21,WINM25,540,540,0,True,1.0,True,test
2025-05-22,WINM25,540,540,0,True,1.0,True,test
2025-05-23,WINM25,540,540,0,True,1.0,True,test
2025-05-26,WINM25,540,540,0,True,1.0,True,test
2025-05-27,WINM25,540,540,0,True,1.0,True,test
2025-05-28,WINM25,540,540,0,True,1.0,True,test
2025-05-29,WINM25,540,540,0,True,1.0,True,test
2025-05-30,WINM25,540,540,0,True,1.0,True,test
2025-06-02,WINM25,540,540,0,True,1.0,True,test
2025-06-03,WINM25,490,540,50,False,0.9074074074074074,False,test
2025-06-04,WINM25,540,540,0,True,1.0,True,test
2025-06-05,WINM25,540,540,0,True,1.0,True,test
2025-06-06,WINM25,540,540,0,True,1.0,True,test
2025-06-09,WINM25,540,540,0,True,1.0,True,test
2025-06-10,WINM25,540,540,0,True,1.0,True,test
2025-06-11,WINM25,540,540,0,True,1.0,True,test
2025-06-12,WINM25,540,540,0,True,1.0,True,test
2025-06-13,WINM25,540,540,0,True,1.0,True,test
2025-06-16,WINM25,540,540,0,True,1.0,True,test
2025-06-17,WINM25,540,540,0,True,1.0,True,test
2025-06-18,WINQ25,540,540,0,True,1.0,True,test
2025-06-20,WINQ25,540,540,0,True,1.0,True,test
2025-06-23,WINQ25,540,540,0,True,1.0,True,test
2025-06-24,WINQ25,540,540,0,True,1.0,True,test
2025-06-25,WINQ25,540,540,0,True,1.0,True,test
2025-06-26,WINQ25,540,540,0,True,1.0,True,test
2025-06-27,WINQ25,540,540,0,True,1.0,True,test
2025-06-30,WINQ25,540,540,0,True,1.0,True,test
2025-07-01,WINQ25,540,540,0,True,1.0,True,test
2025-07-02,WINQ25,540,540,0,True,1.0,True,test
2025-07-03,WINQ25,540,540,0,True,1.0,True,test
2025-07-04,WINQ25,540,540,0,True,1.0,True,test
2025-07-07,WINQ25,540,540,0,True,1.0,True,test
2025-07-08,WINQ25,540,540,0,True,1.0,True,test
2025-07-09,WINQ25,540,540,0,True,1.0,True,test
2025-07-10,WINQ25,535,540,5,False,0.9907407407407407,False,test
2025-07-11,WINQ25,540,540,0,True,1.0,True,test
2025-07-14,WINQ25,540,540,0,True,1.0,True,test
2025-07-15,WINQ25,540,540,0,True,1.0,True,test
2025-07-16,WINQ25,540,540,0,True,1.0,True,test
2025-07-17,WINQ25,540,540,0,True,1.0,True,test
2025-07-18,WINQ25,540,540,0,True,1.0,True,test
2025-07-21,WINQ25,540,540,0,True,1.0,True,test
2025-07-22,WINQ25,540,540,0,True,1.0,True,test
2025-07-23,WINQ25,540,540,0,True,1.0,True,test
2025-07-24,WINQ25,540,540,0,True,1.0,True,test
2025-07-25,WINQ25,540,540,0,True,1.0,True,test
2025-07-28,WINQ25,540,540,0,True,1.0,True,test
2025-07-29,WINQ25,540,540,0,True,1.0,True,test
2025-07-30,WINQ25,536,540,4,True,0.9925925925925926,False,test
2025-07-31,WINQ25,540,540,0,True,1.0,True,test
2025-08-01,WINQ25,540,540,0,True,1.0,True,test
2025-08-04,WINQ25,540,540,0,True,1.0,True,test
2025-08-05,WINQ25,540,540,0,True,1.0,True,test
2025-08-06,WINQ25,540,540,0,True,1.0,True,test
2025-08-07,WINQ25,540,540,0,True,1.0,True,test
2025-08-08,WINQ25,540,540,0,True,1.0,True,test
2025-08-11,WINQ25,540,540,0,True,1.0,True,test
2025-08-12,WINQ25,540,540,0,True,1.0,True,test
2025-08-13,WINV25,540,540,0,True,1.0,True,test
2025-08-14,WINV25,540,540,0,True,1.0,True,test
2025-08-15,WINV25,539,540,1,True,0.9981481481481481,False,test
2025-08-18,WINV25,540,540,0,True,1.0,True,test
2025-08-19,WINV25,540,540,0,True,1.0,True,test
2025-08-20,WINV25,540,540,0,True,1.0,True,test
2025-08-21,WINV25,467,540,73,True,0.8648148148148148,False,test
2025-08-22,WINV25,540,540,0,True,1.0,True,test
2025-08-25,WINV25,540,540,0,True,1.0,True,test
2025-08-26,WINV25,540,540,0,True,1.0,True,test
2025-08-27,WINV25,540,540,0,True,1.0,True,test
2025-08-28,WINV25,540,540,0,True,1.0,True,test
2025-08-29,WINV25,540,540,0,True,1.0,True,test
2025-09-01,WINV25,540,540,0,True,1.0,True,test
2025-09-02,WINV25,540,540,0,True,1.0,True,test
2025-09-03,WINV25,540,540,0,True,1.0,True,test
2025-09-04,WINV25,540,540,0,True,1.0,True,test
2025-09-05,WINV25,540,540,0,True,1.0,True,test
2025-09-08,WINV25,540,540,0,True,1.0,True,test
2025-09-09,WINV25,540,540,0,True,1.0,True,test
2025-09-10,WINV25,540,540,0,True,1.0,True,test
