scale,p,q,nobs,h,df,principal_horizon,lb_stat,lb_pvalue,lb_df_software,lb_pvalue_software,lb_squared_stat,lb_squared_pvalue,arch_lags,arch_lm,arch_lm_pvalue,arch_f,arch_f_pvalue,jb_stat,jb_pvalue,residual_type,main_df_rule,calibration,model
15min,0,0,8856,10,9,False,14.41620256501426,0.1082712596811516,10,0.1548395790016483,319.55990773451737,1.1304873482674921e-62,12,259.3864038121961,1.504180512625658e-48,22.23591959420204,2.6099715605810983e-49,26592.970609207085,0.0,standardized_one_step_innovation,Aula4_h_minus_p_minus_q_minus_constant,conventional_asymptotic_not_heteroskedasticity_robust,ARMA_BIC
15min,0,0,8856,12,11,False,14.767912151779925,0.1933704869910118,12,0.2543747540348255,320.0834483790355,2.8212570474839663e-61,12,259.3864038121961,1.504180512625658e-48,22.23591959420204,2.6099715605810983e-49,26592.970609207085,0.0,standardized_one_step_innovation,Aula4_h_minus_p_minus_q_minus_constant,conventional_asymptotic_not_heteroskedasticity_robust,ARMA_BIC
15min,0,0,8856,20,19,False,23.06933924192461,0.2343015237266504,20,0.2854026742417745,325.29433441104135,5.361013831442268e-57,12,259.3864038121961,1.504180512625658e-48,22.23591959420204,2.6099715605810983e-49,26592.970609207085,0.0,standardized_one_step_innovation,Aula4_h_minus_p_minus_q_minus_constant,conventional_asymptotic_not_heteroskedasticity_robust,ARMA_BIC
15min,0,0,8856,24,23,True,23.895298344734925,0.4096251111901344,24,0.4675974569699848,326.36323274525245,7.933374079997392e-55,12,259.3864038121961,1.504180512625658e-48,22.23591959420204,2.6099715605810983e-49,26592.970609207085,0.0,standardized_one_step_innovation,Aula4_h_minus_p_minus_q_minus_constant,conventional_asymptotic_not_heteroskedasticity_robust,ARMA_BIC
15min,0,0,8856,60,59,False,64.01487185470603,0.3049599509943212,60,0.3375309990355614,440.4857166458774,2.560547218406072e-59,12,259.3864038121961,1.504180512625658e-48,22.23591959420204,2.6099715605810983e-49,26592.970609207085,0.0,standardized_one_step_innovation,Aula4_h_minus_p_minus_q_minus_constant,conventional_asymptotic_not_heteroskedasticity_robust,ARMA_BIC
15min,1,0,8856,10,8,False,13.766121320824997,0.0880687617812065,9,0.1308913489686224,314.42511098315777,1.3813768568126916e-61,12,254.78883440580944,1.3712750652328804e-47,21.832643155186798,2.5040910235086197e-48,26557.586288719103,0.0,standardized_one_step_innovation,Aula4_h_minus_p_minus_q_minus_constant,conventional_asymptotic_not_heteroskedasticity_robust,AR_BIC
15min,1,0,8856,12,10,False,14.101252440619838,0.1684230710836838,11,0.2274413251995002,314.96821075846776,3.3608137750434917e-60,12,254.78883440580944,1.3712750652328804e-47,21.832643155186798,2.5040910235086197e-48,26557.586288719103,0.0,standardized_one_step_innovation,Aula4_h_minus_p_minus_q_minus_constant,conventional_asymptotic_not_heteroskedasticity_robust,AR_BIC
15min,1,0,8856,20,18,False,22.56306603050969,0.2079427523433231,19,0.2571354048976986,320.18925417806054,5.975490508455737e-56,12,254.78883440580944,1.3712750652328804e-47,21.832643155186798,2.5040910235086197e-48,26557.586288719103,0.0,standardized_one_step_innovation,Aula4_h_minus_p_minus_q_minus_constant,conventional_asymptotic_not_heteroskedasticity_robust,AR_BIC
15min,1,0,8856,24,22,True,23.392285937310653,0.379869591324914,23,0.4380685313200378,321.2515094668461,8.600641236763682e-54,12,254.78883440580944,1.3712750652328804e-47,21.832643155186798,2.5040910235086197e-48,26557.586288719103,0.0,standardized_one_step_innovation,Aula4_h_minus_p_minus_q_minus_constant,conventional_asymptotic_not_heteroskedasticity_robust,AR_BIC
15min,1,0,8856,60,58,False,63.78573481731806,0.2803663403469802,59,0.3119954880186139,435.6380586433909,2.100576957800949e-58,12,254.78883440580944,1.3712750652328804e-47,21.832643155186798,2.5040910235086197e-48,26557.586288719103,0.0,standardized_one_step_innovation,Aula4_h_minus_p_minus_q_minus_constant,conventional_asymptotic_not_heteroskedasticity_robust,AR_BIC
