scale,lag,acf,pacf,n,valid_pairs,white_noise_pointwise_band,pacf_method,sequence,model
1min,29,0.0016991647214973,0.0013097020760722,132840,132811,0.0053776389150922,Yule_Walker_MLE,annual_trading_time,AR_BIC
1min,30,-0.0024847164081007,-0.0026944709753245,132840,132810,0.0053776389150922,Yule_Walker_MLE,annual_trading_time,AR_BIC
1min,31,0.0001013565436256,0.0001650366469313,132840,132809,0.0053776389150922,Yule_Walker_MLE,annual_trading_time,AR_BIC
1min,32,-0.0071284769905453,-0.0070369332840024,132840,132808,0.0053776389150922,Yule_Walker_MLE,annual_trading_time,AR_BIC
1min,33,0.0071064691671723,0.0074722794570635,132840,132807,0.0053776389150922,Yule_Walker_MLE,annual_trading_time,AR_BIC
1min,34,0.0027406821444768,0.0030678164144455,132840,132806,0.0053776389150922,Yule_Walker_MLE,annual_trading_time,AR_BIC
1min,35,0.0022253596446252,0.002319438548146,132840,132805,0.0053776389150922,Yule_Walker_MLE,annual_trading_time,AR_BIC
1min,36,-0.0008199801749147,-0.0007587390790258,132840,132804,0.0053776389150922,Yule_Walker_MLE,annual_trading_time,AR_BIC
1min,37,0.0023630431938376,0.0019903481963058,132840,132803,0.0053776389150922,Yule_Walker_MLE,annual_trading_time,AR_BIC
1min,38,-0.0003083091572662,-0.0005176094208684,132840,132802,0.0053776389150922,Yule_Walker_MLE,annual_trading_time,AR_BIC
1min,39,0.0007448190807344,0.0004773575376401,132840,132801,0.0053776389150922,Yule_Walker_MLE,annual_trading_time,AR_BIC
1min,40,0.0023501652050948,0.0022295903986561,132840,132800,0.0053776389150922,Yule_Walker_MLE,annual_trading_time,AR_BIC
1min,41,0.0008934020492736,0.0008267753088196,132840,132799,0.0053776389150922,Yule_Walker_MLE,annual_trading_time,AR_BIC
1min,42,-0.0005395138449022,-0.0004191353949059,132840,132798,0.0053776389150922,Yule_Walker_MLE,annual_trading_time,AR_BIC
1min,43,0.0003642990096468,0.0005677807108954,132840,132797,0.0053776389150922,Yule_Walker_MLE,annual_trading_time,AR_BIC
1min,44,0.0002438432812327,0.0005438686558503,132840,132796,0.0053776389150922,Yule_Walker_MLE,annual_trading_time,AR_BIC
1min,45,0.006326069885506,0.0065045375927087,132840,132795,0.0053776389150922,Yule_Walker_MLE,annual_trading_time,AR_BIC
1min,46,-0.0012121888645241,-0.0012445526430332,132840,132794,0.0053776389150922,Yule_Walker_MLE,annual_trading_time,AR_BIC
1min,47,-0.0005280410992469,-0.000532406359607,132840,132793,0.0053776389150922,Yule_Walker_MLE,annual_trading_time,AR_BIC
1min,48,-0.0023780073098665,-0.0027408191837688,132840,132792,0.0053776389150922,Yule_Walker_MLE,annual_trading_time,AR_BIC
1min,49,-0.0051047624158728,-0.0053200317450115,132840,132791,0.0053776389150922,Yule_Walker_MLE,annual_trading_time,AR_BIC
1min,50,-0.0011053047253158,-0.0009965099254537,132840,132790,0.0053776389150922,Yule_Walker_MLE,annual_trading_time,AR_BIC
1min,51,-0.0034318872028839,-0.0035138010075849,132840,132789,0.0053776389150922,Yule_Walker_MLE,annual_trading_time,AR_BIC
1min,52,0.0021292875987223,0.0022024543009858,132840,132788,0.0053776389150922,Yule_Walker_MLE,annual_trading_time,AR_BIC
1min,53,-0.0004123044579898,-0.0002582588466642,132840,132787,0.0053776389150922,Yule_Walker_MLE,annual_trading_time,AR_BIC
1min,54,-0.0070297649963077,-0.0068628487328256,132840,132786,0.0053776389150922,Yule_Walker_MLE,annual_trading_time,AR_BIC
1min,55,-0.006449088145013,-0.0060733012710139,132840,132785,0.0053776389150922,Yule_Walker_MLE,annual_trading_time,AR_BIC
1min,56,-0.0034984823625028,-0.0035954195297185,132840,132784,0.0053776389150922,Yule_Walker_MLE,annual_trading_time,AR_BIC
1min,57,-0.000393789212912,-0.000466331463242,132840,132783,0.0053776389150922,Yule_Walker_MLE,annual_trading_time,AR_BIC
1min,58,0.0024148708710629,0.002230293604797,132840,132782,0.0053776389150922,Yule_Walker_MLE,annual_trading_time,AR_BIC
1min,59,-0.0031149002691307,-0.0032968058696933,132840,132781,0.0053776389150922,Yule_Walker_MLE,annual_trading_time,AR_BIC
1min,60,0.0024406534663731,0.0024595133278664,132840,132780,0.0053776389150922,Yule_Walker_MLE,annual_trading_time,AR_BIC
