scale,model,series,test,lag,nobs,statistic,pvalue,reference_df,model_df,f_statistic,f_pvalue,reject_5pct,sample,reference_caveat
15min,garch11,squared_standardized_residuals,Ljung-Box,10,8856,2.2999951699985064,0.993480985107026,10,0,,,False,train_2024,approximate after fixed-mean and variance estimation; no df adjustment
15min,garch11,squared_standardized_residuals,Ljung-Box,20,8856,5.459549912320417,0.9994550988455994,20,0,,,False,train_2024,approximate after fixed-mean and variance estimation; no df adjustment
15min,garch11,squared_standardized_residuals,Ljung-Box,24,8856,6.1950337876825206,0.9999040558635104,24,0,,,False,train_2024,approximate after fixed-mean and variance estimation; no df adjustment
30min,fixed_arma_mean,innovations,ARCH-LM,10,4428,76.40268438176584,2.535781461556724e-12,10,0,7.755362959599953,1.9840709272799272e-12,True,train_2024,asymptotic; innovations from a pre-estimated mean
30min,fixed_arma_mean,innovations,ARCH-LM,20,4428,104.94019704903842,1.6282918922491473e-13,20,0,5.349363772941488,1.0827580174506577e-13,True,train_2024,asymptotic; innovations from a pre-estimated mean
30min,fixed_arma_mean,innovations,ARCH-LM,24,4428,108.88357710533164,8.830096411564417e-13,24,0,4.625419674333595,5.868186848860834e-13,True,train_2024,asymptotic; innovations from a pre-estimated mean
30min,constant,standardized_residuals,Ljung-Box,10,4428,9.989009092413218,0.4414580872162587,10,0,,,False,train_2024,approximate after fixed-mean and variance estimation; no df adjustment
30min,constant,standardized_residuals,Ljung-Box,20,4428,21.80744097214637,0.3510501948139277,20,0,,,False,train_2024,approximate after fixed-mean and variance estimation; no df adjustment
30min,constant,standardized_residuals,Ljung-Box,24,4428,22.363418848969484,0.5575854028300709,24,0,,,False,train_2024,approximate after fixed-mean and variance estimation; no df adjustment
30min,constant,squared_standardized_residuals,Ljung-Box,10,4428,89.75546645165349,5.988495002294241e-15,10,0,,,True,train_2024,approximate after fixed-mean and variance estimation; no df adjustment
30min,constant,squared_standardized_residuals,Ljung-Box,20,4428,135.02043092189083,4.428821591419006e-19,20,0,,,True,train_2024,approximate after fixed-mean and variance estimation; no df adjustment
30min,constant,squared_standardized_residuals,Ljung-Box,24,4428,139.80126217166708,2.5334727247685557e-18,24,0,,,True,train_2024,approximate after fixed-mean and variance estimation; no df adjustment
30min,arch1,standardized_residuals,Ljung-Box,10,4428,12.773213718564056,0.2366295725325883,10,0,,,False,train_2024,approximate after fixed-mean and variance estimation; no df adjustment
30min,arch1,standardized_residuals,Ljung-Box,20,4428,23.93857515715455,0.245085634025386,20,0,,,False,train_2024,approximate after fixed-mean and variance estimation; no df adjustment
30min,arch1,standardized_residuals,Ljung-Box,24,4428,24.22204786653344,0.4489602849690301,24,0,,,False,train_2024,approximate after fixed-mean and variance estimation; no df adjustment
30min,arch1,squared_standardized_residuals,Ljung-Box,10,4428,20.6839850983941,0.0234081710159159,10,0,,,True,train_2024,approximate after fixed-mean and variance estimation; no df adjustment
30min,arch1,squared_standardized_residuals,Ljung-Box,20,4428,47.16849691626376,0.0005558155216569,20,0,,,True,train_2024,approximate after fixed-mean and variance estimation; no df adjustment
30min,arch1,squared_standardized_residuals,Ljung-Box,24,4428,48.83624850372459,0.0019859502951747,24,0,,,True,train_2024,approximate after fixed-mean and variance estimation; no df adjustment
30min,garch11,standardized_residuals,Ljung-Box,10,4428,12.575469995216984,0.2483853465533119,10,0,,,False,train_2024,approximate after fixed-mean and variance estimation; no df adjustment
30min,garch11,standardized_residuals,Ljung-Box,20,4428,23.81317235877884,0.2506484847722719,20,0,,,False,train_2024,approximate after fixed-mean and variance estimation; no df adjustment
30min,garch11,standardized_residuals,Ljung-Box,24,4428,24.07651292408096,0.4572290693718274,24,0,,,False,train_2024,approximate after fixed-mean and variance estimation; no df adjustment
30min,garch11,squared_standardized_residuals,Ljung-Box,10,4428,2.454095015513714,0.9915279112831352,10,0,,,False,train_2024,approximate after fixed-mean and variance estimation; no df adjustment
30min,garch11,squared_standardized_residuals,Ljung-Box,20,4428,25.61978241576141,0.1787396175250399,20,0,,,False,train_2024,approximate after fixed-mean and variance estimation; no df adjustment
30min,garch11,squared_standardized_residuals,Ljung-Box,24,4428,27.0939260919845,0.3000940300029538,24,0,,,False,train_2024,approximate after fixed-mean and variance estimation; no df adjustment
60min,fixed_arma_mean,innovations,ARCH-LM,10,2214,39.087274969873576,2.4510461044169985e-05,10,0,3.959438780967031,2.2379211196667563e-05,True,train_2024,asymptotic; innovations from a pre-estimated mean
60min,fixed_arma_mean,innovations,ARCH-LM,20,2214,59.25742351577935,9.27332653757355e-06,20,0,3.015969764182485,7.8040906906414e-06,True,train_2024,asymptotic; innovations from a pre-estimated mean
60min,fixed_arma_mean,innovations,ARCH-LM,24,2214,62.98695004924957,2.390743870140145e-05,24,0,2.6713271861798327,2.0142059888498015e-05,True,train_2024,asymptotic; innovations from a pre-estimated mean
60min,constant,standardized_residuals,Ljung-Box,10,2214,9.284368520224856,0.5053454461151523,10,0,,,False,train_2024,approximate after fixed-mean and variance estimation; no df adjustment
60min,constant,standardized_residuals,Ljung-Box,20,2214,18.20211593141406,0.5740957910974803,20,0,,,False,train_2024,approximate after fixed-mean and variance estimation; no df adjustment
60min,constant,standardized_residuals,Ljung-Box,24,2214,24.70167363628824,0.4221142795126001,24,0,,,False,train_2024,approximate after fixed-mean and variance estimation; no df adjustment
60min,constant,squared_standardized_residuals,Ljung-Box,10,2214,42.753244840940994,5.504433354444696e-06,10,0,,,True,train_2024,approximate after fixed-mean and variance estimation; no df adjustment
60min,constant,squared_standardized_residuals,Ljung-Box,20,2214,67.9242063760159,3.95996242591189e-07,20,0,,,True,train_2024,approximate after fixed-mean and variance estimation; no df adjustment
60min,constant,squared_standardized_residuals,Ljung-Box,24,2214,73.1585160514074,7.19516701725124e-07,24,0,,,True,train_2024,approximate after fixed-mean and variance estimation; no df adjustment
60min,arch1,standardized_residuals,Ljung-Box,10,2214,8.383393704510949,0.5914416645892386,10,0,,,False,train_2024,approximate after fixed-mean and variance estimation; no df adjustment
60min,arch1,standardized_residuals,Ljung-Box,20,2214,17.022814259438917,0.6514917368106699,20,0,,,False,train_2024,approximate after fixed-mean and variance estimation; no df adjustment
60min,arch1,standardized_residuals,Ljung-Box,24,2214,23.798420459520305,0.473171487353868,24,0,,,False,train_2024,approximate after fixed-mean and variance estimation; no df adjustment
60min,arch1,squared_standardized_residuals,Ljung-Box,10,2214,20.643232527730884,0.0237233631520956,10,0,,,True,train_2024,approximate after fixed-mean and variance estimation; no df adjustment
60min,arch1,squared_standardized_residuals,Ljung-Box,20,2214,37.03255310379377,0.0115972994131298,20,0,,,True,train_2024,approximate after fixed-mean and variance estimation; no df adjustment
60min,arch1,squared_standardized_residuals,Ljung-Box,24,2214,41.88115679761675,0.0133057899468493,24,0,,,True,train_2024,approximate after fixed-mean and variance estimation; no df adjustment
60min,garch11,standardized_residuals,Ljung-Box,10,2214,8.762482713410101,0.5547835412480016,10,0,,,False,train_2024,approximate after fixed-mean and variance estimation; no df adjustment
60min,garch11,standardized_residuals,Ljung-Box,20,2214,17.338112407503665,0.6309220233995307,20,0,,,False,train_2024,approximate after fixed-mean and variance estimation; no df adjustment
60min,garch11,standardized_residuals,Ljung-Box,24,2214,24.014976186911213,0.4607412031786718,24,0,,,False,train_2024,approximate after fixed-mean and variance estimation; no df adjustment
60min,garch11,squared_standardized_residuals,Ljung-Box,10,2214,16.286893995581234,0.0917089886262681,10,0,,,False,train_2024,approximate after fixed-mean and variance estimation; no df adjustment
60min,garch11,squared_standardized_residuals,Ljung-Box,20,2214,33.388285523522924,0.0305730353597045,20,0,,,True,train_2024,approximate after fixed-mean and variance estimation; no df adjustment
60min,garch11,squared_standardized_residuals,Ljung-Box,24,2214,38.1017694628361,0.0338494752432194,24,0,,,True,train_2024,approximate after fixed-mean and variance estimation; no df adjustment
1d,fixed_arma_mean,innovations,ARCH-LM,10,246,33.13963900407619,0.0002580506871779,10,0,3.6756410859719257,0.0001437768950283,True,train_2024,asymptotic; innovations from a pre-estimated mean
1d,fixed_arma_mean,innovations,ARCH-LM,20,246,54.42756058489847,4.997886928694822e-05,20,0,3.251585731933736,1.0580435269315386e-05,True,train_2024,asymptotic; innovations from a pre-estimated mean
1d,constant,standardized_residuals,Ljung-Box,10,246,9.98394740208037,0.4419027672001603,10,0,,,False,train_2024,approximate after fixed-mean and variance estimation; no df adjustment
1d,constant,standardized_residuals,Ljung-Box,20,246,19.92900543405744,0.4623785881247304,20,0,,,False,train_2024,approximate after fixed-mean and variance estimation; no df adjustment
1d,constant,squared_standardized_residuals,Ljung-Box,10,246,26.62108807060823,0.0029888161772288,10,0,,,True,train_2024,approximate after fixed-mean and variance estimation; no df adjustment
1d,constant,squared_standardized_residuals,Ljung-Box,20,246,41.25997868479695,0.0034490943673435,20,0,,,True,train_2024,approximate after fixed-mean and variance estimation; no df adjustment
1d,arch1,standardized_residuals,Ljung-Box,10,246,10.50955406626706,0.3969806485532184,10,0,,,False,train_2024,approximate after fixed-mean and variance estimation; no df adjustment
1d,arch1,standardized_residuals,Ljung-Box,20,246,21.08490828153961,0.3921501632616231,20,0,,,False,train_2024,approximate after fixed-mean and variance estimation; no df adjustment
1d,arch1,squared_standardized_residuals,Ljung-Box,10,246,18.545450846539683,0.0464307438892863,10,0,,,True,train_2024,approximate after fixed-mean and variance estimation; no df adjustment
1d,arch1,squared_standardized_residuals,Ljung-Box,20,246,28.688495893343905,0.0940766102066336,20,0,,,False,train_2024,approximate after fixed-mean and variance estimation; no df adjustment
1d,garch11,standardized_residuals,Ljung-Box,10,246,9.882621625074988,0.4508510381179101,10,0,,,False,train_2024,approximate after fixed-mean and variance estimation; no df adjustment
1d,garch11,standardized_residuals,Ljung-Box,20,246,20.37666366210674,0.434600241016636,20,0,,,False,train_2024,approximate after fixed-mean and variance estimation; no df adjustment
1d,garch11,squared_standardized_residuals,Ljung-Box,10,246,16.56383516676166,0.0845897347208391,10,0,,,False,train_2024,approximate after fixed-mean and variance estimation; no df adjustment
1d,garch11,squared_standardized_residuals,Ljung-Box,20,246,29.553694661546142,0.0774153986510021,20,0,,,False,train_2024,approximate after fixed-mean and variance estimation; no df adjustment
