scale,month,n,mean_pct,std_pct,skewness,excess_kurtosis,zero_share
60min,2024-05,189,-0.014464224430319,0.2363695381146292,0.7780588503979262,6.038606979039411,0.0052910052910052
60min,2024-06,171,0.0196230836328308,0.3125945779240579,-1.121006642517669,11.171711635308938,0.0058479532163742
60min,2024-07,207,0.011995335797837,0.1720955811734801,0.1611111022165882,0.3772572257656943,0.0096618357487922
60min,2024-08,198,0.0335721376722735,0.2187966048163014,0.3893347153699446,2.1520477778732943,0.0151515151515151
60min,2024-09,189,-0.0411077606230072,0.241955326597524,-0.0229512069244689,1.7089544124971503,0.0
60min,2024-10,207,-0.0015701703343539,0.2098657931953388,-0.5331294404274192,1.7657458293320234,0.0193236714975845
60min,2024-11,171,-0.0101239597158342,0.2740767137842114,0.1287815460381543,1.0426130252616677,0.0116959064327485
60min,2024-12,171,-0.0381797588690321,0.3044693308216733,1.3488706422942005,10.15480441935594,0.0116959064327485
1d,2024-01,22,-0.1856748761658723,0.7346868156801275,-0.1233944829508635,-1.0828914550754687,0.0
1d,2024-02,17,-0.0333598267783493,0.692517996034224,0.1572546664051077,-1.007110789267236,0.0
1d,2024-03,19,0.0031849637816756,0.6674417038924365,0.476773402025428,0.004131060345129,0.0
1d,2024-04,21,-0.2377090486740612,0.8634270565649566,-0.1032620013589233,-0.1804264979338965,0.0
1d,2024-05,21,-0.1298152818633296,0.6381512731824968,0.2239703090701988,0.1685017838865636,0.0
1d,2024-06,19,0.1763982677051003,0.693945739803133,-0.1758610194591351,-0.8494070113906269,0.0
1d,2024-07,23,0.1093216491747245,0.555834123312722,-0.6509961426876177,-0.2499890160855113,0.0
1d,2024-08,22,0.3030078663654466,0.7644597079658121,0.0198255699926726,-0.0281128063158058,0.0
1d,2024-09,21,-0.3697963142943534,0.7496096620692033,-0.0093718891865474,-0.1402836255132902,0.0
1d,2024-10,23,-0.0131374442999685,0.5509960396976653,0.0490423179233659,-0.6099957467231376,0.0
1d,2024-11,19,-0.0911249457673107,0.9828029559253038,-0.4606728336874164,-0.5438764476613165,0.0
1d,2024-12,19,-0.3438039700056398,1.2561993569230956,-0.926200289337466,0.5353923567854637,0.0
