p,q,nobs,parameters,sequence,trend,llf,aic,bic,mu_pct,sigma2_pct,sigma_pct,ar,ma,params_json,converged,min_ar_root,min_ma_root,method,attempts,numerical_attempts,status,delta_bic,selected,scale
0,4,132840,6,annual_trading_time,c,268313.42600762827,-536614.8520152565,-536556.0706112036,-0.0001221274835478,0.0010306916771029,0.0321043871940107,[],"[-0.008113575906850867, -0.0026504460665049802, 0.0030492870822998075, 0.004352391877275832]","[-0.00012212748354786435, -0.008113575906850867, -0.0026504460665049802, 0.0030492870822998075, 0.004352391877275832, 0.0010306916771029603]",True,inf,3.752051052862617,innovations_mle_gls,1,"[{""method"": ""innovations_mle_gls"", ""converged"": true, ""message"": ""CONVERGENCE: NORM OF PROJECTED GRADIENT <= PGTOL"", ""iterations"": 1, ""gls_iterations"": 2, ""gradient_per_observation"": 0.0, ""warning"": """"}]",eligible,34.99508737458382,False,1min
1,3,132840,6,annual_trading_time,c,268312.8008132833,-536613.6016265666,-536554.8202225136,-0.0001221275882478,0.001030701223455,0.0321045358704196,[0.49225988695916173],"[-0.500414043162754, 0.001435132645002024, 0.005038502592895427]","[-0.00012212758824781846, 0.49225988695916173, -0.500414043162754, 0.001435132645002024, 0.005038502592895427, 0.0010307012234550604]",True,2.0314472629027374,2.104960718943937,innovations_mle_gls,1,"[{""method"": ""innovations_mle_gls"", ""converged"": true, ""message"": ""CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH"", ""iterations"": 1, ""gls_iterations"": 2, ""gradient_per_observation"": 1.533625505671919e-07, ""warning"": """"}]",eligible,36.245476064505056,False,1min
2,2,132840,6,annual_trading_time,c,268330.9235513156,-536649.8471026311,-536591.0656985781,-0.0001221253559589,0.0010304201988435,0.0321001588600985,"[1.5253183225450053, -0.9384256936919236]","[-1.531026262223207, 0.9449582170375875]","[-0.0001221253559589659, 1.5253183225450053, -0.9384256936919236, -1.531026262223207, 0.9449582170375875, 0.0010304201988435618]",True,1.0322860417050257,1.0287117421277991,innovations_mle_gls,1,"[{""method"": ""innovations_mle_gls"", ""converged"": true, ""message"": ""CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH"", ""iterations"": 1, ""gls_iterations"": 2, ""gradient_per_observation"": 1.3145361623130709e-07, ""warning"": """"}]",eligible,0.0,True,1min
3,1,132840,6,annual_trading_time,c,268312.78936619684,-536613.5787323937,-536554.7973283407,-0.00012212748053,0.0010307018227352,0.0321045452036815,"[0.484750253513141, 0.001349782159928242, 0.005056983584294305]",[-0.4928895372875325],"[-0.0001221274805300182, 0.484750253513141, 0.001349782159928242, 0.005056983584294305, -0.4928895372875325, 0.001030701822735229]",True,1.972078476980224,2.028852155197279,innovations_mle_gls,1,"[{""method"": ""innovations_mle_gls"", ""converged"": true, ""message"": ""CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH"", ""iterations"": 2, ""gls_iterations"": 2, ""gradient_per_observation"": 2.190893579531313e-07, ""warning"": """"}]",eligible,36.26837023743428,False,1min
4,0,132840,6,annual_trading_time,c,268313.4290026544,-536614.8580053088,-536556.0766012558,-0.000122127416272,0.0010306916352611,0.0321043865423589,"[-0.008145196093528807, -0.0026567164752341137, 0.0030455802232830483, 0.004352531459127611]",[],"[-0.0001221274162720112, -0.008145196093528807, -0.0026567164752341137, 0.0030455802232830483, 0.004352531459127611, 0.001030691635261198]",True,3.7949242161379946,inf,innovations_mle_gls,1,"[{""method"": ""innovations_mle_gls"", ""converged"": true, ""message"": ""CONVERGENCE: NORM OF PROJECTED GRADIENT <= PGTOL"", ""iterations"": 1, ""gls_iterations"": 2, ""gradient_per_observation"": 0.0, ""warning"": """"}]",eligible,34.98909732233733,False,1min
0,5,132840,7,annual_trading_time,c,268314.32868353435,-536614.6573670687,-536546.0790623403,-0.0001221228085867,0.0010306776720956,0.0321041690765497,[],"[-0.00805912431278472, -0.0026937013882402053, 0.0030369166573651473, 0.004357443893045946, -0.0037260066300498526]","[-0.0001221228085867991, -0.00805912431278472, -0.0026937013882402053, 0.0030369166573651473, 0.004357443893045946, -0.0037260066300498526, 0.0010306776720956944]",True,inf,2.909741972273651,innovations_mle_gls,1,"[{""method"": ""innovations_mle_gls"", ""converged"": true, ""message"": ""CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH"", ""iterations"": 1, ""gls_iterations"": 2, ""gradient_per_observation"": 2.1908935905530373e-08, ""warning"": """"}]",eligible,44.98663623782341,False,1min
1,4,132840,7,annual_trading_time,c,268317.0818233221,-536620.1636466442,-536551.5853419158,-0.0001221260900112,0.0010306348015084,0.0321035013901662,[-0.6960737161270903],"[0.6880177708911646, -0.008287639066297104, 0.0011449714667286816, 0.00833112038216174]","[-0.00012212609001129786, -0.6960737161270903, 0.6880177708911646, -0.008287639066297104, 0.0011449714667286816, 0.00833112038216174, 0.0010306348015084084]",True,1.4366294500587324,1.4797388832757772,innovations_mle_gls,1,"[{""method"": ""innovations_mle_gls"", ""converged"": true, ""message"": ""CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH"", ""iterations"": 1, ""gls_iterations"": 3, ""gradient_per_observation"": 1.314536147718788e-07, ""warning"": """"}]",eligible,39.48035666230135,False,1min
2,3,132840,7,annual_trading_time,c,268331.5057345504,-536649.0114691007,-536580.4331643723,-0.0001221228381006,0.0010304113988264,0.0321000217885671,"[1.5301226904593508, -0.9426628293320145]","[-1.5384995595277051, 0.9537430585620726, -0.0031111240970674407]","[-0.00012212283810063718, 1.5301226904593508, -0.9426628293320145, -1.5384995595277051, 0.9537430585620726, -0.0031111240970674407, 0.0010304113988264848]",True,1.0299634391929895,1.02667642034786,innovations_mle_gls,1,"[{""method"": ""innovations_mle_gls"", ""converged"": true, ""message"": ""CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH"", ""iterations"": 1, ""gls_iterations"": 2, ""gradient_per_observation"": 2.629072295437576e-07, ""warning"": """"}]",eligible,10.632534205797128,False,1min
3,2,132840,7,annual_trading_time,c,268331.50439494883,-536649.0087898977,-536580.4304851693,-0.0001221228475338,0.001030410941145,0.0321000146595762,"[1.5268405451748228, -0.9376646391054155, -0.003083520418658373]","[-1.5352116226069201, 0.9487162991624369]","[-0.00012212284753387818, 1.5268405451748228, -0.9376646391054155, -0.003083520418658373, -1.5352116226069201, 0.9487162991624369, 0.0010304109411450118]",True,1.0299596793341803,1.026672239209192,innovations_mle_gls,1,"[{""method"": ""innovations_mle_gls"", ""converged"": true, ""message"": ""CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH"", ""iterations"": 1, ""gls_iterations"": 2, ""gradient_per_observation"": 1.9718042215781816e-07, ""warning"": """"}]",eligible,10.635213408851996,False,1min
4,1,132840,7,annual_trading_time,c,268317.0563750763,-536620.1127501526,-536551.5344454242,-0.0001221260468714,0.0010306353577748,0.0321035100538065,"[-0.7006629809899554, -0.008283405555244015, 0.0012126421592933067, 0.008271483600290036]",[0.6925631350163929],"[-0.00012212604687148788, -0.7006629809899554, -0.008283405555244015, 0.0012126421592933067, 0.008271483600290036, 0.6925631350163929, 0.0010306353577748597]",True,1.4090027397181473,1.443911680306706,innovations_mle_gls,1,"[{""method"": ""innovations_mle_gls"", ""converged"": true, ""message"": ""CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH"", ""iterations"": 1, ""gls_iterations"": 2, ""gradient_per_observation"": 4.3817871811060746e-08, ""warning"": """"}]",eligible,39.5312531539239,False,1min
5,0,132840,7,annual_trading_time,c,268314.3571273917,-536614.7142547834,-536546.135950055,-0.0001221227398022,0.0010306772416297,0.0321041623723429,"[-0.008128936696953753, -0.002645310727266647, 0.003035643941634039, 0.00432202445529234, -0.0037381814012649277]",[],"[-0.0001221227398022765, -0.008128936696953753, -0.002645310727266647, 0.003035643941634039, 0.00432202445529234, -0.0037381814012649277, 0.0010306772416297598]",True,2.90016682723033,inf,innovations_mle_gls,1,"[{""method"": ""innovations_mle_gls"", ""converged"": true, ""message"": ""CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH"", ""iterations"": 1, ""gls_iterations"": 2, ""gradient_per_observation"": 2.1908935905530373e-08, ""warning"": """"}]",eligible,44.92974852316547,False,1min
1,5,132840,8,annual_trading_time,c,268317.7737591476,-536619.5475182952,-536541.1723128913,-0.0001221221584909,0.0010306243470618,0.0321033385656674,[-0.6048827374069528],"[0.5968392901779107, -0.007521412289264365, 0.0013996789136559759, 0.006235278632173383, -0.0038205908265368407]","[-0.00012212215849097938, -0.6048827374069528, 0.5968392901779107, -0.007521412289264365, 0.0013996789136559759, 0.006235278632173383, -0.0038205908265368407, 0.0010306243470618735]",True,1.653212991805419,1.9242083256053129,innovations_mle_gls,1,"[{""method"": ""innovations_mle_gls"", ""converged"": true, ""message"": ""CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH"", ""iterations"": 1, ""gls_iterations"": 2, ""gradient_per_observation"": 1.314536147718788e-07, ""warning"": """"}]",eligible,49.89338568679523,False,1min
2,4,132840,8,annual_trading_time,c,268323.7640148251,-536631.5280296502,-536553.1528242463,-0.0001221216193963,0.0010305309819736,0.0321018843991073,"[-1.1754557205688065, -0.8607970266007188]","[1.1674430853823932, 0.8487609204127256, -0.0055092857074682524, 0.0046712243590248306]","[-0.00012212161939631814, -1.1754557205688065, -0.8607970266007188, 1.1674430853823932, 0.8487609204127256, -0.0055092857074682524, 0.0046712243590248306, 0.001030530981973653]",True,1.0778283954320729,1.0785049907364392,innovations_mle_gls,1,"[{""method"": ""innovations_mle_gls"", ""converged"": true, ""message"": ""CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH"", ""iterations"": 1, ""gls_iterations"": 2, ""gradient_per_observation"": 1.7308059278297374e-06, ""warning"": """"}]",eligible,37.91287433181424,False,1min
3,3,132840,8,annual_trading_time,c,268319.2731714862,-536622.5463429724,-536544.1711375685,-0.000122112285136,0.0010306012740664,0.0321029792085792,"[-0.01520595736545638, 0.10421136369822909, 0.8478526374332941]","[0.010986769845449385, -0.10807064498082183, -0.842117074880676]","[-0.0001221122851360117, -0.01520595736545638, 0.10421136369822909, 0.8478526374332941, 0.010986769845449385, -0.10807064498082183, -0.842117074880676, 0.0010306012740664682]",True,1.0225750451424571,1.0217970211578016,innovations_mle_gls,1,"[{""method"": ""innovations_mle_gls"", ""converged"": true, ""message"": ""CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH"", ""iterations"": 1, ""gls_iterations"": 3, ""gradient_per_observation"": 3.5054297467091447e-07, ""warning"": """"}]",eligible,46.894561009597965,False,1min
4,2,132840,8,annual_trading_time,c,268323.8048235179,-536631.6096470358,-536553.2344416319,-0.0001221216071795,0.0010305307735764,0.0321018811532349,"[-1.1870795333256012, -0.8701677617893591, -0.005587076828123941, 0.004659807054027863]","[1.1790515957657233, 0.8580916724942556]","[-0.00012212160717954746, -1.1870795333256012, -0.8701677617893591, -0.005587076828123941, 0.004659807054027863, 1.1790515957657233, 0.8580916724942556, 0.001030530773576423]",True,1.07878159778803,1.0795261235993048,innovations_mle_gls,1,"[{""method"": ""innovations_mle_gls"", ""converged"": true, ""message"": ""CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH"", ""iterations"": 1, ""gls_iterations"": 2, ""gradient_per_observation"": 1.183082532946909e-06, ""warning"": """"}]",eligible,37.83125694619957,False,1min
5,1,132840,8,annual_trading_time,c,268317.7619904453,-536619.5239808906,-536541.1487754867,-0.0001221220900581,0.0010306242698207,0.0321033373626603,"[-0.6091101817875267, -0.007532346900925238, 0.0014316835745578952, 0.006130331771416385, -0.0038393729611793112]",[0.601032241802015],"[-0.0001221220900581539, -0.6091101817875267, -0.007532346900925238, 0.0014316835745578952, 0.006130331771416385, -0.0038393729611793112, 0.601032241802015, 0.0010306242698207857]",True,1.5622697661423723,1.6638042528330923,innovations_mle_gls,1,"[{""method"": ""innovations_mle_gls"", ""converged"": true, ""message"": ""CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH"", ""iterations"": 1, ""gls_iterations"": 2, ""gradient_per_observation"": 1.533625513387126e-07, ""warning"": """"}]",eligible,49.91692309139762,False,1min
