lag,minutes,acf,pacf,acf_ci_95,pacf_ci_95,acf_n_pairs,pacf_nobs,acf_conventional,pacf_conventional,acf_significant,pacf_significant,scale,label,bar_minutes,separation_value,separation_unit
40,40.0,0.0024701847194603956,0.0022737250257686705,0.00558860629541957,0.00558860629541957,123000,123000,0.002336867489080047,0.0022266366355205972,False,False,1min,1 minuto,1.0,40,minutos
41,41.0,0.0016713990431178642,0.0015439260088639694,0.005594203298620443,0.005594203298620443,122754,122754,0.0008787509993910984,0.0008482365219206388,False,False,1min,1 minuto,1.0,41,minutos
42,42.0,-0.000867966665763943,-0.0007519558353820482,0.005599817151812924,0.005599817151812924,122508,122508,-0.0005496110458791329,-0.00041702325597120743,False,False,1min,1 minuto,1.0,42,minutos
43,43.0,0.0005904542218003087,0.0007684239861999389,0.005605447939712958,0.005605447939712958,122262,122262,0.00036703161936598794,0.0005602086688917935,False,False,1min,1 minuto,1.0,43,minutos
44,44.0,0.0009220300072182797,0.0012160143667320291,0.005611095747633984,0.005611095747633984,122016,122016,0.00018937225616915757,0.0004955145329770869,False,False,1min,1 minuto,1.0,44,minutos
45,45.0,0.006365803152683554,0.0062806609767828685,0.005616760661492363,0.005616760661492363,121770,121770,0.006333958328524687,0.0065186326675288585,True,True,1min,1 minuto,1.0,45,minutos
46,46.0,-0.00033186133424432316,-0.00016986875180160827,0.005622442767812869,0.005622442767812869,121524,121524,-0.001259409653258399,-0.0011875327514350939,False,False,1min,1 minuto,1.0,46,minutos
47,47.0,-0.0001301625253563772,-0.0001763046199411988,0.005628142153734233,0.005628142153734233,121278,121278,-0.0004988379732207923,-0.0005205985150072783,False,False,1min,1 minuto,1.0,47,minutos
48,48.0,-0.0021104482578370065,-0.0023535406208246,0.005633858907014768,0.005633858907014768,121032,121032,-0.0023324449189183446,-0.0027018498857242137,False,False,1min,1 minuto,1.0,48,minutos
49,49.0,-0.006649351390419238,-0.006511221803177376,0.005639593116038035,0.005639593116038035,120786,120786,-0.005076781371843994,-0.005334113626127148,True,True,1min,1 minuto,1.0,49,minutos
50,50.0,-0.0026291796487071706,-0.002566451157507276,0.005645344869818583,0.005645344869818583,120540,120540,-0.0010360060835627265,-0.0010109514402202532,False,False,1min,1 minuto,1.0,50,minutos
51,51.0,-0.003659457564551079,-0.003624105799444656,0.0056511142580077545,0.0056511142580077545,120294,120294,-0.003440576421601816,-0.0035395715201454246,False,False,1min,1 minuto,1.0,51,minutos
