lag,valid_pairs,acf,pacf,q,acf_band,pacf_band,scale
49,120786,0.0186497744490914,0.004461729339585259,20638.071742377368,0.005127852259212362,0.005639593116038035,1min
50,120540,0.01841269392405444,0.0029782117563609124,20687.70442543933,0.005122627752242788,0.005645344869818583,1min
51,120294,0.022233160966269268,0.0077428799387153635,20760.218570445686,0.005117397911418134,0.0056511142580077545,1min
52,120048,0.026814499702014962,0.010494412852163265,20865.912182520166,0.0051121627203684905,0.005656901370899557,1min
53,119802,0.02193677445428477,0.0019119055588903838,20936.79577892357,0.005106922162640041,0.005662706299436595,1min
54,119556,0.02759237505457503,0.011206544242000759,21049.171130974457,0.005101676221694465,0.005668529135216072,1min
55,119310,0.03525155709030415,0.016706415726217082,21232.970508616392,0.00509642488090832,0.005674369970495862,1min
56,119064,0.02985756192902789,0.004748295922726936,21365.09778636445,0.0050911681235724345,0.005680228898200651,1min
57,118818,0.02560104343691522,0.0036886859713253367,21462.439136911653,0.0050859059328912815,0.005686106011928141,1min
58,118572,0.019252443671093963,-4.40764265404979e-05,21517.602895584845,0.005080638291982359,0.005692001405955339,1min
59,118326,0.021191313775532693,0.00587269987757455,21584.57591097328,0.005075365183875549,0.005697915175244901,1min
60,118080,0.02070511715408111,0.003967484553882572,21648.644227465753,0.005070086591512493,0.005703847415451556,1min
1,26322,0.16119998425415258,0.16128417033089656,696.8856508335577,0.01196896649251879,0.012080825992448873,5min
2,26076,0.05682302618105797,0.03167444019537173,784.2950555201347,0.011912905451337405,0.012137677252306037,5min
3,25830,0.050459006099107764,0.03764023299698903,853.8780948726361,0.011856579341697647,0.012195338751460437,5min
4,25584,0.04678313364235587,0.03251360103566574,914.2674771991042,0.011799984367762459,0.012253829920368704,5min
5,25338,0.02537301506170361,0.010244555060169866,932.2033386192932,0.01174311664222515,0.012313170848158412,5min
6,25092,0.02289993773118123,0.01343831229601065,946.9564540690855,0.0116859721831935,0.012373382311616646,5min
7,24846,0.015179534358141355,0.004294201412266581,953.5029791356321,0.011628546910935999,0.012434485805753346,5min
8,24600,0.017144467683459338,0.009926077563789222,961.9375563921162,0.011570836644482807,0.01249650357604143,5min
9,24354,0.02483214916716216,0.016834092756379485,979.8110204821016,0.011512837098073311,0.012559458652443609,5min
10,24108,0.020602030480719836,0.00924065520475307,992.2392505717389,0.011454543877441823,0.012623374885344051,5min
11,23862,0.02496223159639408,0.01590959277991641,1010.6728604508928,0.011395952475932275,0.012688276983512221,5min
12,23616,0.022020741647667104,0.009952989359250373,1025.1675180367217,0.011337058270432144,0.012754190554236162,5min
1,8610,0.15328108095503856,0.15367299203096488,214.06577683898468,0.020536197823791878,0.021122946333043076,15min
2,8364,0.07787484760300878,0.056182108579644605,270.94500300253196,0.020240697557127735,0.021431326825194073,15min
3,8118,0.047454954981371485,0.026208322165548522,292.7064298822392,0.019940818793126803,0.021753620501592876,15min
4,7872,0.05576515145520321,0.041287524662969505,323.69588716439716,0.019636360932757415,0.02209090604935209,15min
1,4182,0.1177174473885703,0.1191071056057158,64.9993453085499,0.028624668997182016,0.030308473055839787,30min
2,3936,0.0734701890706312,0.06164556704700018,91.90097335283768,0.027770007946758733,0.031241258940103576,30min
3,3690,0.05900934977783018,0.05180692727340025,110.41183482098914,0.02688819457546105,0.03226583349055326,30min
4,3444,0.018101720984588072,0.021992222322993388,112.27816263596293,0.025976463841190216,0.033398310652958854,30min
1,1968,0.1119921095098855,0.11456099269241202,31.26778585303815,0.03927272186551483,0.04418181209870418,60min
2,1722,0.017644484549169535,0.0248551537811972,32.15480333037491,0.036736267466705504,0.04723234388576423,60min
3,1476,0.0021798263880099655,0.0090511316716134,32.17059779197903,0.03401117481129643,0.05101676221694465,60min
4,1230,0.0013108920222456516,0.01535586228518251,32.177452297050564,0.03104781275233094,0.0558860629541957,60min
1,236,0.0514549948474851,0.05214297847746557,0.6844313013220162,0.12239874525058919,0.1275851327612074,1d
2,226,-0.0062058073564333115,-0.012454889779592892,0.6948275085698677,0.11977748333988171,0.1303772606265969,1d
3,217,-0.013916389254923221,-0.012042912699036406,0.7492752901859334,0.11736830459677325,0.13305346972721763,1d
4,209,0.060388502569689056,0.08504471792334119,1.8137835197032095,0.11518451747077188,0.13557603491775064,1d
5,201,0.02480086343420145,0.015213836838840368,2.0004749282336234,0.11295851984701356,0.13824774070828524,1d
6,193,-0.026358276877498196,-0.03416134682719728,2.2200906921045136,0.11068776511919357,0.14108388714674414,1d
7,185,-0.02730777613245947,-0.06457444557480733,2.466007225036569,0.10836943982569704,0.1441020659303863,1d
8,178,-0.06677047739255801,-0.22791132018654148,3.994050832330086,0.10629943725889275,0.14690821104318882,1d
9,171,-0.009970144512874507,0.021316046834692664,4.029515311326089,0.10418831621146,0.14988494612876702,1d
10,164,0.08190084788170501,0.3013056353980406,6.524797896078182,0.10203352443388929,0.15305028665083395,1d
