scale,segment,start,end,n,specification,test,trend,null,adf_max_lags,lag_rule,small_sample,status,statistic,pvalue,critical_1,critical_5,critical_10,lags,nobs,reject_5pct,warning
1d,7,2024-06-12,2024-08-13,45,main,KPSS,c,level_or_trend_stationarity,,Bartlett_short_bandwidth,False,ok,0.1648605869355534,0.3478555303968313,0.7428,0.4614,0.3475,3.0,45.0,False,
1d,7,2024-06-12,2024-08-13,45,trend_sensitivity,ADF,ct,unit_root,8.0,bic,False,ok,-6.852746643566311,3.0347192993010826e-08,-4.1807810419797145,-3.5154718322689704,-3.1881037377911348,0.0,44.0,True,
1d,7,2024-06-12,2024-08-13,45,trend_sensitivity,PP,ct,unit_root,,Bartlett_short_bandwidth,False,ok,-6.84383110960413,3.177884224483457e-08,-4.1807810419797145,-3.5154718322689704,-3.1881037377911348,3.0,44.0,True,
1d,7,2024-06-12,2024-08-13,45,trend_sensitivity,KPSS,ct,level_or_trend_stationarity,,Bartlett_short_bandwidth,False,ok,0.11270779358282204,0.11781677410048097,0.2175,0.1479,0.1193,3.0,45.0,False,
1d,7,2024-06-12,2024-08-13,45,lag_sensitivity,ADF,c,unit_root,8.0,aic,False,ok,-2.2261623520051175,0.19688740910799396,-3.6055648906249997,-2.937069375,-2.606985625,4.0,40.0,False,
1d,7,2024-06-12,2024-08-13,45,lag_sensitivity,PP,c,unit_root,,Bartlett_short_bandwidth,False,ok,-6.865512550040133,1.5628432508060808e-09,-3.5885733964124715,-2.929885661157025,-2.6031845661157025,6.0,44.0,True,
1d,7,2024-06-12,2024-08-13,45,lag_sensitivity,KPSS,c,level_or_trend_stationarity,,Bartlett_short_bandwidth,False,ok,0.15545642133680382,0.3739987460214172,0.7428,0.4614,0.3475,6.0,45.0,False,
1d,8,2024-08-14,2024-10-15,45,main,ADF,c,unit_root,8.0,bic,False,ok,-6.445318435165993,1.5711525619758234e-08,-3.5885733964124715,-2.929885661157025,-2.6031845661157025,0.0,44.0,True,
1d,8,2024-08-14,2024-10-15,45,main,PP,c,unit_root,,Bartlett_short_bandwidth,False,ok,-6.448001643685941,1.5485220223417966e-08,-3.5885733964124715,-2.929885661157025,-2.6031845661157025,3.0,44.0,True,
1d,8,2024-08-14,2024-10-15,45,main,KPSS,c,level_or_trend_stationarity,,Bartlett_short_bandwidth,False,ok,0.2744090953981298,0.16019885896028146,0.7428,0.4614,0.3475,3.0,45.0,False,
1d,8,2024-08-14,2024-10-15,45,trend_sensitivity,ADF,ct,unit_root,8.0,bic,False,ok,-6.476735332023227,2.0755506151760854e-07,-4.1807810419797145,-3.5154718322689704,-3.1881037377911348,0.0,44.0,True,
1d,8,2024-08-14,2024-10-15,45,trend_sensitivity,PP,ct,unit_root,,Bartlett_short_bandwidth,False,ok,-6.481321950122642,2.0280301857882455e-07,-4.1807810419797145,-3.5154718322689704,-3.1881037377911348,3.0,44.0,True,
1d,8,2024-08-14,2024-10-15,45,trend_sensitivity,KPSS,ct,level_or_trend_stationarity,,Bartlett_short_bandwidth,False,ok,0.1601364284341631,0.037511904882313075,0.2175,0.1479,0.1193,3.0,45.0,True,
1d,8,2024-08-14,2024-10-15,45,lag_sensitivity,ADF,c,unit_root,8.0,aic,False,ok,-6.445318435165993,1.5711525619758234e-08,-3.5885733964124715,-2.929885661157025,-2.6031845661157025,0.0,44.0,True,
1d,8,2024-08-14,2024-10-15,45,lag_sensitivity,PP,c,unit_root,,Bartlett_short_bandwidth,False,ok,-6.454771558525446,1.4928409800386427e-08,-3.5885733964124715,-2.929885661157025,-2.6031845661157025,6.0,44.0,True,
1d,8,2024-08-14,2024-10-15,45,lag_sensitivity,KPSS,c,level_or_trend_stationarity,,Bartlett_short_bandwidth,False,ok,0.27047852171431064,0.16429320654759308,0.7428,0.4614,0.3475,6.0,45.0,False,
1d,9,2024-10-16,2024-12-17,43,main,ADF,c,unit_root,7.0,bic,False,ok,-7.622914265883881,2.1052063412748204e-11,-3.596635636000432,-2.933297331821618,-2.6049909750566895,0.0,42.0,True,
1d,9,2024-10-16,2024-12-17,43,main,PP,c,unit_root,,Bartlett_short_bandwidth,False,ok,-7.788985789397167,8.036199120845125e-12,-3.596635636000432,-2.933297331821618,-2.6049909750566895,3.0,42.0,True,
1d,9,2024-10-16,2024-12-17,43,main,KPSS,c,level_or_trend_stationarity,,Bartlett_short_bandwidth,False,ok,0.15786717468934225,0.36706820140290586,0.7428,0.4614,0.3475,3.0,43.0,False,
1d,9,2024-10-16,2024-12-17,43,trend_sensitivity,ADF,ct,unit_root,7.0,bic,False,ok,-7.718327915979614,3.1986826824006954e-10,-4.1922463983371125,-3.520758216175359,-3.1911390346614836,0.0,42.0,True,
1d,9,2024-10-16,2024-12-17,43,trend_sensitivity,PP,ct,unit_root,,Bartlett_short_bandwidth,False,ok,-8.017652849680287,6.50416830506974e-11,-4.1922463983371125,-3.520758216175359,-3.1911390346614836,3.0,42.0,True,
1d,9,2024-10-16,2024-12-17,43,trend_sensitivity,KPSS,ct,level_or_trend_stationarity,,Bartlett_short_bandwidth,False,ok,0.043641037172290606,0.6663844424156409,0.2175,0.1479,0.1193,3.0,43.0,False,
1d,9,2024-10-16,2024-12-17,43,lag_sensitivity,ADF,c,unit_root,7.0,aic,False,ok,-5.132937676371661,1.2031431199061792e-05,-3.6055648906249997,-2.937069375,-2.606985625,2.0,40.0,True,
1d,9,2024-10-16,2024-12-17,43,lag_sensitivity,PP,c,unit_root,,Bartlett_short_bandwidth,False,ok,-8.32783391990884,3.4321510903985314e-13,-3.596635636000432,-2.933297331821618,-2.6049909750566895,6.0,42.0,True,
1d,9,2024-10-16,2024-12-17,43,lag_sensitivity,KPSS,c,level_or_trend_stationarity,,Bartlett_short_bandwidth,False,ok,0.24203642636201697,0.19925496338608756,0.7428,0.4614,0.3475,6.0,43.0,False,
1d,10,2024-12-18,2024-12-30,7,main,ADF,c,unit_root,0.0,bic,True,too_short,,,,,,,,,n < 8; test not computed
1d,10,2024-12-18,2024-12-30,7,main,PP,c,unit_root,,Bartlett_short_bandwidth,True,too_short,,,,,,,,,n < 8; test not computed
1d,10,2024-12-18,2024-12-30,7,main,KPSS,c,level_or_trend_stationarity,,Bartlett_short_bandwidth,True,too_short,,,,,,,,,n < 8; test not computed
1d,10,2024-12-18,2024-12-30,7,lag_sensitivity,ADF,c,unit_root,0.0,aic,True,too_short,,,,,,,,,n < 8; test not computed
1d,10,2024-12-18,2024-12-30,7,lag_sensitivity,PP,c,unit_root,,Bartlett_short_bandwidth,True,too_short,,,,,,,,,n < 8; test not computed
1d,10,2024-12-18,2024-12-30,7,lag_sensitivity,KPSS,c,level_or_trend_stationarity,,Bartlett_short_bandwidth,True,too_short,,,,,,,,,n < 8; test not computed
