scale,segment,start,end,n,specification,test,trend,null,adf_max_lags,lag_rule,small_sample,status,statistic,pvalue,critical_1,critical_5,critical_10,lags,nobs,reject_5pct,warning
1min,2024-01-10,2024-01-10,2024-01-10,540,lag_sensitivity,KPSS,c,level_or_trend_stationarity,,Bartlett_short_bandwidth,False,ok,0.30434263144114154,0.13193085235050916,0.7428,0.4614,0.3475,12.0,540.0,False,
1min,2024-01-11,2024-01-11,2024-01-11,540,main,ADF,c,unit_root,12.0,bic,False,ok,-22.38814015917676,0.0,-3.4425405682241816,-2.8669171671779816,-2.5696338432333636,0.0,539.0,True,
1min,2024-01-11,2024-01-11,2024-01-11,540,main,PP,c,unit_root,,Bartlett_short_bandwidth,False,ok,-22.374803527011856,0.0,-3.4425405682241816,-2.8669171671779816,-2.5696338432333636,6.0,539.0,True,
1min,2024-01-11,2024-01-11,2024-01-11,540,main,KPSS,c,level_or_trend_stationarity,,Bartlett_short_bandwidth,False,ok,0.05379206872135256,0.8532099354112793,0.7428,0.4614,0.3475,6.0,540.0,False,
1min,2024-01-11,2024-01-11,2024-01-11,540,trend_sensitivity,ADF,ct,unit_root,12.0,bic,False,ok,-22.370001383476826,0.0,-3.9756648124097875,-3.4186668470500177,-3.131860684671111,0.0,539.0,True,
1min,2024-01-11,2024-01-11,2024-01-11,540,trend_sensitivity,PP,ct,unit_root,,Bartlett_short_bandwidth,False,ok,-22.356148612734415,0.0,-3.9756648124097875,-3.4186668470500177,-3.131860684671111,6.0,539.0,True,
1min,2024-01-11,2024-01-11,2024-01-11,540,trend_sensitivity,KPSS,ct,level_or_trend_stationarity,,Bartlett_short_bandwidth,False,ok,0.043533950109536444,0.6679907483569534,0.2175,0.1479,0.1193,6.0,540.0,False,
1min,2024-01-11,2024-01-11,2024-01-11,540,lag_sensitivity,ADF,c,unit_root,12.0,aic,False,ok,-22.38814015917676,0.0,-3.4425405682241816,-2.8669171671779816,-2.5696338432333636,0.0,539.0,True,
1min,2024-01-11,2024-01-11,2024-01-11,540,lag_sensitivity,PP,c,unit_root,,Bartlett_short_bandwidth,False,ok,-22.373614341454072,0.0,-3.4425405682241816,-2.8669171671779816,-2.5696338432333636,12.0,539.0,True,
1min,2024-01-11,2024-01-11,2024-01-11,540,lag_sensitivity,KPSS,c,level_or_trend_stationarity,,Bartlett_short_bandwidth,False,ok,0.055096068279872054,0.8451021661355105,0.7428,0.4614,0.3475,12.0,540.0,False,
1min,2024-01-12,2024-01-12,2024-01-12,540,main,ADF,c,unit_root,12.0,bic,False,ok,-22.124428303747532,0.0,-3.4425405682241816,-2.8669171671779816,-2.5696338432333636,0.0,539.0,True,
1min,2024-01-12,2024-01-12,2024-01-12,540,main,PP,c,unit_root,,Bartlett_short_bandwidth,False,ok,-22.09805261233859,0.0,-3.4425405682241816,-2.8669171671779816,-2.5696338432333636,6.0,539.0,True,
1min,2024-01-12,2024-01-12,2024-01-12,540,main,KPSS,c,level_or_trend_stationarity,,Bartlett_short_bandwidth,False,ok,0.1911744191193227,0.2857991082567602,0.7428,0.4614,0.3475,6.0,540.0,False,
1min,2024-01-12,2024-01-12,2024-01-12,540,trend_sensitivity,ADF,ct,unit_root,12.0,bic,False,ok,-22.149436782208202,0.0,-3.9756648124097875,-3.4186668470500177,-3.131860684671111,0.0,539.0,True,
1min,2024-01-12,2024-01-12,2024-01-12,540,trend_sensitivity,PP,ct,unit_root,,Bartlett_short_bandwidth,False,ok,-22.124249207577307,0.0,-3.9756648124097875,-3.4186668470500177,-3.131860684671111,6.0,539.0,True,
1min,2024-01-12,2024-01-12,2024-01-12,540,trend_sensitivity,KPSS,ct,level_or_trend_stationarity,,Bartlett_short_bandwidth,False,ok,0.07470404239086739,0.3076612123779431,0.2175,0.1479,0.1193,6.0,540.0,False,
1min,2024-01-12,2024-01-12,2024-01-12,540,lag_sensitivity,ADF,c,unit_root,12.0,aic,False,ok,-22.124428303747532,0.0,-3.4425405682241816,-2.8669171671779816,-2.5696338432333636,0.0,539.0,True,
1min,2024-01-12,2024-01-12,2024-01-12,540,lag_sensitivity,PP,c,unit_root,,Bartlett_short_bandwidth,False,ok,-22.119170110644163,0.0,-3.4425405682241816,-2.8669171671779816,-2.5696338432333636,12.0,539.0,True,
