scale,p,q,h,q_boundary,p_working,bic,delta_bic,passes_working_reference
30min,1,1,12,13.572485051664493,0.19339983188750992,-3035.888874716854,15.595946402337631,True
30min,2,0,12,12.019688750060734,0.2837409669261873,-3037.4295946005195,14.055226518672043,True
30min,0,3,12,12.095508227530273,0.20797841676957693,-3029.021188512435,22.46363260675662,True
30min,1,2,12,12.117640365436547,0.2067582770595373,-3028.9508447373605,22.533976381831053,True
30min,2,1,12,12.002179018729631,0.21318649030798717,-3029.0752256021474,22.40959551704418,True
30min,3,0,12,11.97120506521784,0.21493749919055247,-3029.1676654314974,22.31715568769414,True
30min,0,4,12,10.134246602110526,0.25572975002440007,-3022.859002863857,28.625818255334707,True
30min,1,3,12,11.970505016890165,0.1525247361875902,-3020.7925674082267,30.692253710964906,True
30min,2,2,12,8.714750484360902,0.36692775917498954,-3026.0959121450755,25.38890897411602,True
30min,4,0,12,9.954591442191882,0.26822748623873033,-3023.0902496440845,28.394571475107117,True
30min,0,5,12,5.482473280923459,0.6012987592656422,-3020.854887926811,30.629933192380577,True
30min,1,4,12,9.962842574872857,0.1906889440818113,-3019.1533642579343,32.331456861257266,True
30min,2,3,12,8.744874647022332,0.2714957110095531,-3017.734342397911,33.750478721280615,True
30min,3,2,12,8.745517092791378,0.2714469487324678,-3017.736129462397,33.74869165679456,True
30min,4,1,12,9.502250494288901,0.21857784160441132,-3019.626085871292,31.858735247899403,True
30min,5,0,12,5.295306602851616,0.623974385563633,-3021.212540565357,30.272280553834666,True
30min,1,5,12,5.51548729725249,0.47958683414429426,-3012.480516780446,39.00430433874544,True
30min,2,4,12,6.90709320675801,0.32952475338612475,-3010.943522747293,40.54129837189839,True
30min,4,2,12,6.645778093826488,0.3548504206021086,-3011.2048394838475,40.27998163534403,True
30min,5,1,12,5.335582123270646,0.5015471802226976,-3012.8417623393234,38.64305877986817,True
30min,2,5,12,5.461894329939539,0.3621424010371151,-3004.250836015794,47.23398510339757,True
30min,5,2,12,5.327607252630781,0.37721971985404606,-3004.490577258537,46.99424386065402,True
60min,0,0,8,21.852296050076284,0.005196963455794484,62.55083427071608,0.0,False
60min,0,1,8,17.90465924806591,0.012407646069776557,66.63675413107444,4.085919860358366,False
60min,1,0,8,17.499826511323743,0.014442484626203334,66.22249320494188,3.6716589342258095,False
60min,0,2,8,11.011705308088533,0.08801533864394244,65.32349490508629,2.7726606343702187,True
60min,1,1,8,13.848125929531179,0.03137946516542457,69.63794569001827,7.087111419302197,False
60min,2,0,8,11.002513163006048,0.08829879106379865,65.24862480356357,2.697790532847499,True
60min,0,3,8,10.800314169661418,0.055486105008794244,72.81934486462214,10.268510593906065,True
60min,1,2,8,10.661041305180435,0.05853049266889001,72.62976920183118,10.078934931115109,True
60min,2,1,8,10.276168905576107,0.06777778055560181,72.15418099159669,9.603346720880616,True
60min,3,0,8,10.683832972187705,0.058021781676344836,72.56049212605612,10.009657855340045,True
60min,0,4,8,10.273163891558282,0.03606926919616444,79.8919651734682,17.34113090275212,False
60min,2,2,8,7.307901899251877,0.12048446877375832,78.10470151924302,15.553867248526949,True
60min,4,0,8,10.147627985544739,0.03801299324755917,79.7593493326681,17.20851506195202,False
60min,0,5,8,10.24354853892626,0.016605389929825038,87.59067763664228,25.03984336592621,False
60min,1,4,8,10.23871952708867,0.016642212020682782,87.58931480376526,25.03848053304919,False
60min,5,0,8,10.178000462041325,0.017112116054758646,87.40341056448091,24.852576293764837,False
60min,1,5,8,10.236520246860135,0.005986429487690526,95.29179210747164,32.74095783675558,False
60min,4,2,8,5.875704140058949,0.05297940265962848,92.34568454802806,29.794850277311987,True
60min,5,2,8,5.475753178235739,0.019282049993966575,99.759083526885,37.20824925616892,False
1d,0,0,15,7.954324717582644,0.9256008099580498,588.9960966263233,0.0,True
1d,0,1,15,7.894826899460412,0.8947329690309116,594.3336600444335,5.337563418110221,True
1d,1,0,15,7.898230149592912,0.8945602821811962,594.342095143653,5.34599851732969,True
1d,0,2,15,7.761539488468947,0.8587809589923331,599.7187111180591,10.72261449173584,True
1d,1,1,15,7.8351228267239215,0.8541732670407338,599.7850455142278,10.788948887904551,True
1d,2,0,15,7.7532509972163215,0.859295596671237,599.7020830663142,10.705986439990966,True
1d,0,3,15,7.739030659529288,0.8051773110374063,605.2130506823407,16.21695405601747,True
1d,1,2,15,7.758775685758309,0.8036857388292509,605.2228696116217,16.226772985298453,True
1d,2,1,15,7.74778266413052,0.8045166979430016,605.2026598230368,16.206563196713546,True
1d,3,0,15,7.719819641513982,0.8066244204841145,605.1685449058837,16.1724482795604,True
1d,0,4,15,6.016989584553581,0.8722282535091841,608.1341998653872,19.13810323906398,True
1d,1,3,15,6.882348983539296,0.8085294916271848,609.7846560007033,20.788559374380043,True
1d,3,1,15,6.9381623385241475,0.8040688952090184,609.8004315251535,20.804334898830238,True
1d,4,0,15,6.315969589141242,0.8514720363772589,608.5632340848435,19.56713745852028,True
1d,0,5,15,5.901752173079796,0.8234489193210461,613.5624868703367,24.566390244013405,True
1d,1,4,15,5.839349780941457,0.8285748846516575,613.4960112424785,24.49991461615525,True
1d,4,1,15,6.0351949597389085,0.812297694653527,613.8871487153067,24.89105208898343,True
1d,5,0,15,6.1957628974786685,0.7985566007233271,614.0090601506395,25.01296352431621,True
1d,1,5,15,5.839757881272563,0.7558427412665916,618.9966185605813,30.000521934258018,True
1d,2,4,15,5.776781403767987,0.76203439140686,618.5450536334833,29.548957007160084,True
1d,5,1,15,6.038474348733458,0.7360615199201141,619.3898367372315,30.3937401109082,True
1d,2,5,15,5.67084895500202,0.6840467103598116,623.9552998392306,34.95920321290737,True
