lag,valid_pairs,acf,pacf,q,acf_band,pacf_band,scale
52,120048,0.001865828830666129,0.0018947680548892995,127.26625233402329,0.0051121627203684905,0.005656901370899557,1min
53,119802,-0.0006005780258926291,-0.00044053300385984507,127.31938224402428,0.005106922162640041,0.005662706299436595,1min
54,119556,-0.00771926612074752,-0.007881577505542229,136.1145661095092,0.005101676221694465,0.005668529135216072,1min
55,119310,-0.0055891035508357206,-0.00564338007789858,140.73488273869128,0.00509642488090832,0.005674369970495862,1min
56,119064,-0.004009495207946381,-0.004363593158800615,143.1175489228931,0.0050911681235724345,0.005680228898200651,1min
57,118818,-0.0007755556201887156,-0.0009363918269269516,143.20688110309385,0.0050859059328912815,0.005686106011928141,1min
58,118572,0.0012986712385159595,0.0011721715561244534,143.45788506227981,0.005080638291982359,0.005692001405955339,1min
59,118326,-0.002730298346137973,-0.0030980898522694937,144.56962779947855,0.005075365183875549,0.005697915175244901,1min
60,118080,0.0032772815958181482,0.0034141091778088347,146.17477714557944,0.005070086591512493,0.005703847415451556,1min
1,26322,0.0024088151989059953,0.0024168013538617686,0.15561035653670682,0.01196896649251879,0.012080825992448873,5min
2,26076,-0.011260521531788857,-0.011347663504349539,3.5882361010644717,0.011912905451337405,0.012137677252306037,5min
3,25830,0.009570206629986326,0.009722693803606882,6.091281001859199,0.011856579341697647,0.012195338751460437,5min
4,25584,-0.011131618661207767,-0.011471600007950444,9.510277145534848,0.011799984367762459,0.012253829920368704,5min
5,25338,-0.002093869586419787,-0.001871398653785041,9.632422609296286,0.01174311664222515,0.012313170848158412,5min
6,25092,6.43010933195894e-05,-0.00020705414585047357,9.632538928615801,0.0116859721831935,0.012373382311616646,5min
7,24846,0.007709998760977724,0.008125281136432936,11.321433550110697,0.011628546910935999,0.012434485805753346,5min
8,24600,-0.0036521292273999323,-0.0038765050319657466,11.704176837247113,0.011570836644482807,0.01249650357604143,5min
9,24354,0.009513336473203762,0.010020780482672765,14.327463976390359,0.011512837098073311,0.012559458652443609,5min
10,24108,-0.011662742452620603,-0.012437539873897943,18.31028329214861,0.011454543877441823,0.012623374885344051,5min
11,23862,-0.01557112112892379,-0.015813178688451304,25.4829944426592,0.011395952475932275,0.012688276983512221,5min
12,23616,-0.0018117760166605,-0.002273049160765594,25.581113437304204,0.011337058270432144,0.012754190554236162,5min
1,8610,0.006835556439468554,0.00690123763291191,0.4257139478539509,0.020536197823791878,0.021122946333043076,15min
2,8364,0.008171863529584003,0.008254497392334055,1.0520414329605134,0.020240697557127735,0.021431326825194073,15min
3,8118,-0.012736279084697244,-0.013333390349291412,2.6195480067902155,0.019940818793126803,0.021753620501592876,15min
4,7872,-0.023349931394726856,-0.024248479593971906,8.052794597633913,0.019636360932757415,0.02209090604935209,15min
1,4182,0.008903897954893637,0.009090386781477163,0.3718670152710015,0.028624668997182016,0.030308473055839787,30min
2,3936,-0.021713307384203476,-0.022743020544374395,2.721544252665163,0.027770007946758733,0.031241258940103576,30min
3,3690,-0.005042233078887694,-0.005257197987458866,2.8566988449316075,0.02688819457546105,0.03226583349055326,30min
4,3444,0.019230460259745636,0.021286930929463394,4.963034372621898,0.025976463841190216,0.033398310652958854,30min
